username,content,timestamp
MarioNawfal,"🚨🇬🇧UK POLICE REISSUE ISIS TERRORIST’S MUGSHOT AFTER SHE COMPLAINS SHE WAS NOT WEARING A NIQAB IN THE PREVIOUS ONE

Convicted ISIS terrorist Farishta Jami, 36, complained after police released a mugshot showing her uncovered face and hair. In response, West Midlands Police reissued the image, now showing her in a navy blue niqab with only her eyes visible.

Jami, a mother of 4, was found guilty of planning to join ISIS in Afghanistan and radicalizing others online. The court heard she saved £1,200 for flights and planned for her children to become martyrs.

Despite her distress over the photo, Jami attended her 3-week trial wearing a hijab that showed her face. The judge refused to mandate which image should be used, leaving it up to the press.

Jami will be sentenced at a later date.

Source: The Telegraph",2025-02-15 17:40:00
elonmusk,That is already possible,2025-02-15 23:25:00
elonmusk,Momentum is growing rapidly to impeach activist judges who repeatedly fail to follow the law,2025-02-15 23:15:00
elonmusk,,2025-02-15 23:13:00
elonmusk,"Deeply honored to support President ⁦@realDonaldTrump⁩ in this revolutionary administration.

Interview with @SeanHannity⁩ airs on Tuesday.",2025-02-15 23:13:00
elonmusk,It’s true. Something must be done,2025-02-15 22:53:00
elonmusk,😂,2025-02-15 22:46:00
elonmusk,,2025-02-15 22:45:00
elonmusk,"With more and more breaking and needing fixing in the US, that the Bureaucracy somehow found more value in sending money abroad to these programs than fixing core problems in the US is completely deranged.",2025-02-15 22:05:00
elonmusk,"ELON TALKING ABOUT COST EFFICIENCY AT SPACEX 20 YEARS AGO

“Anyone outside the space business assumes rockets are made of magic. 

So if you tell [suppliers] it's for a rocket, they go like, well, I don't think I'm quite good enough to do something for a rocket. 

We tell them, no, it'll be fine.

Generally, we find as a principle that if you want something cheap, fast, and it's probably going to work, then you should use a regular commercial supplier. 

If you want something that's expensive, takes a long time, might work, use an aerospace supplier.”

Source: National Space Society, May 2005",2025-02-15 21:15:00
elonmusk,Yup,2025-02-15 22:42:00
elonmusk,“Misplaced”,2025-02-15 21:23:00
elonmusk,"JD Vance is right about mass immigration 

🇺🇸🇪🇺",2025-02-15 22:18:00
elonmusk,"Having world war level of national debt without fighting a world war is catastrophic. 

The @DOGE team is tracing and stopping the insane levels of waste and fraud very quickly.",2025-02-15 22:39:00
elonmusk,The human rights cause of our lifetimes is the genocide and ethnic cleansing of Afrikaners.,2025-02-15 19:46:00
elonmusk,"The impossibly rich lifestyle of DC liberals, funded by YOU the taxpayer, without your consent or approval. This is how they live, and the receipts prove it.

USAID, the NEA, and other taxpayer-funded programs issue billions of dollars in grants. John and Jane, or Pete and Pete, each work at non-profits who receive these grants. 

The non-profit pays them $300,000 or more. In some cases, such as the Kennedy Center, the CEO is paying $1.5 million.

A married couple takes in $750,000 together, and often much more. Off of your back.

Year after year, and the perks don't stop with salaries. Believe it or not, that's small potatoes.

If they want a free ski vacation in Aspen? Well there's a conference being held annually. The non-profit will of course fly them there and provide accommodations. Every meal is of course non-profit related. Eat well.

Itching for a trip to Switzerland or Paris? Same deal. The non-profit would be delighted to host a conference on some subject. 

How they cut their family and friends in on the scam. 

Their nepo babies start a ""conference organizing business,"" and pay them from the non-profit to put on events. 

Maybe they take on an ownership interest in these businesses via an offshore account. 

How will anyone be able to track down this money? It's stash in the Cayman Islands or in Switzerland via one of the many ""businesses"" that provide ""services"" for the non-profit USAID industrial complex.

Speaker fees for their friends?

Yes, of course. That's how to really get the big bucks going, as speaking fees and vendors aren't accounted for item-by-item on the Form 990. 

Hold a ""gala"" and pay everyone $100,000 to give a talk. Pay millions to the ""vendors"" run by nepo babies and others in on the corruption.

Even judge / their families are in on these scams.
 
 It's why DC judges are issuing lawless rulings. Their spouses, friends, and families are all taking a piece of the action.

The end result of that DC exists entirely off of your back.

This corruption must end, and that's why they hate Elon.

They won't go down without a fight. These are all people living lIke billionaires for doing nothing.

Think this story is exaggerated. Look at these salaries from ""non-profits,"" which are funded by taxpayers via grants and other ""aid.""

Now you understand the anger. 

They are thieves!",2025-02-15 21:08:00
elonmusk,Bingo,2025-02-15 21:58:00
elonmusk,Exactly,2025-02-15 21:57:00
elonmusk,"This judge has sympathy for criminals, but not for their victims",2025-02-15 21:25:00
